#p_beam = 158 GeV/c
#Particle = pion+
#<p>/GeV/c  p*(dn/dp)  stat  syst-  syst+
1.42 0.782 0.00948 0.0449 0.0326
2.2 0.778 0.0054 0.0251 0.0221
2.62 0.81 0.00229 0.0213 0.0188
3.08 0.803 0.00533 0.0194 0.0152
3.6 0.79 0.00181 0.0224 0.0169
4.34 0.782 0.00154 0.023 0.0162
5.55 0.765 0.00114 0.0254 0.017
7.13 0.727 0.00115 0.0199 0.0167
8.97 0.684 0.00109 0.016 0.0151
11.3 0.63 0.00102 0.0124 0.0129
14.2 0.57 0.00096 0.01 0.0106
17.9 0.504 0.000895 0.00847 0.00875
22.5 0.429 0.000822 0.00706 0.00715
28.4 0.352 0.000753 0.00607 0.00593
35.7 0.278 0.00075 0.00712 0.00704
45 0.21 0.000951 0.0106 0.00575
56.6 0.144 0.000933 0.00403 0.00453
71.3 0.0911 0.000687 0.00328 0.00369
89.7 0.0519 0.000816 0.00172 0.0019

#p_beam = 158 GeV/c
#Particle = pion-
#<p>/GeV/c  p*(dn/dp)  stat  syst-  syst+
1.42 0.833 0.01 0.052 0.0261
2.2 0.882 0.00405 0.0265 0.0231
2.62 0.908 0.00227 0.0219 0.0189
3.08 0.911 0.00225 0.0208 0.018
3.6 0.92 0.0019 0.0224 0.0178
4.34 0.922 0.0016 0.0238 0.019
5.55 0.924 0.00127 0.0275 0.0193
7.13 0.901 0.00129 0.0221 0.0188
8.97 0.873 0.00124 0.0177 0.0171
11.3 0.832 0.00118 0.0143 0.0144
14.2 0.781 0.00113 0.0124 0.0126
17.9 0.722 0.00107 0.0121 0.011
22.5 0.651 0.00102 0.00989 0.00985
28.4 0.574 0.00099 0.00868 0.00857
35.7 0.491 0.00101 0.0076 0.00746
45 0.407 0.00112 0.0209 0.00765
56.6 0.33 0.00135 0.0073 0.00706
71.3 0.268 0.00141 0.00856 0.00904

#p_beam = 158 GeV/c
#Particle = kaon+
#<p>/GeV/c  p*(dn/dp)  stat  syst-  syst+
1.79 0.0588 0.00324 0.0103 0.0101
5.55 0.0861 0.00127 0.00656 0.0142
7.13 0.0858 0.000833 0.00288 0.0073
8.97 0.0868 0.000619 0.00188 0.00425
11.3 0.0856 0.000501 0.00167 0.00239
14.2 0.0803 0.000444 0.00147 0.00182
17.9 0.0733 0.000417 0.00151 0.00162
22.5 0.0658 0.00042 0.00137 0.00135
28.4 0.055 0.000463 0.00138 0.00139
35.7 0.0467 0.000573 0.00186 0.00168
45 0.0369 0.000741 0.0037 0.00858
56.6 0.0256 0.000781 0.0064 0.00432
71.3 0.0153 0.000739 0.00125 0.00443

#p_beam = 158 GeV/c
#Particle = kaon-
#<p>/GeV/c  p*(dn/dp)  stat  syst-  syst+
1.79 0.0443 0.00231 0.00695 0.0052
3.6 0.0594 0.0021 0.0123 0.0129
4.34 0.07 0.00129 0.0045 0.00982
5.55 0.0781 0.000762 0.00294 0.0127
7.13 0.0827 0.00059 0.00191 0.00649
8.97 0.0833 0.000501 0.00132 0.00355
11.3 0.0835 0.000449 0.00127 0.00239
14.2 0.0805 0.000416 0.00133 0.00199
